inchikey,smiles_canonical,algae_growth_ec50_value_log,bcf_value_log,bee_acute_contact_ld50_value_log,bee_acute_oral_ld50_value_log,bird_acute_oral_ld50_value_log,daphnia_acute_ec50_value_log,earthworm_acute_lc50_value_log,fish_acute_lc50_value_log,rat_acute_oral_ld50_value_log,skin_sensitization_value_log,soil_dt50_value_log,soil_koc_value_log,presence_count
CJPQIRJHIZUAQP-UHFFFAOYSA-N,COC(=O)C(C)N(C(=O)Cc1ccccc1)c1c(C)cccc1C,,,,1.6989700043360187,3.434615859865488,,,,1.1111417662562943,,,3.54,4
ZCNQYNHDVRPZIH-UHFFFAOYSA-N,COC(=O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl,,,2.0,,3.3521825181113627,-5.243601714460619,,-6.7155313048493,,,,,4
QGHREAKMXXNCOA-UHFFFAOYSA-N,COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC,,,2.0,-4.4089353929735005,3.6665179805548807,,,,,,,3.25,4
VGPYEHKOIGNJKV-UHFFFAOYSA-N,COC(=O)NS(=O)(=O)c1ccc(N)cc1,,,1.6989700043360187,,3.6995412450883203,,,,0.9394510401315228,,,1.6,4
IDOWTHOLJBTAFI-UHFFFAOYSA-N,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,,,2.0,,3.3979400086720375,,,,1.1247780672519094,,,3.38,4
YIJZJEYQBAAWRJ-UHFFFAOYSA-N,COC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C2=NCCS2)c1CC(C)C,,,2.0,,3.281714970027296,-4.812467430894093,,-5.060023785208594,,,,,4
IMEVJVISCHQJRM-UHFFFAOYSA-N,COC(=O)c1cccc(C)c1S(=O)(=O)NC(=O)Nc1nc(OCC(F)(F)F)nc(N(C)C)n1,,,1.3979400086720377,,3.359808766538142,,,-2.8485600131658417,,,,1.84,4
VLCQZHSMCYCDJL-UHFFFAOYSA-N,COC(=O)c1ccccc1S(=O)(=O)NC(=O)N(C)c1nc(C)nc(OC)n1,,,,0.6989700043360189,3.3521825181113627,,,-2.7314414757422742,,,,1.72,4
UPJMCYOGPGHMHO-UHFFFAOYSA-N,COC(C)(C)CCCC(C)C=CC=C(C)CC(=O)OC(C)C,,,,-0.3010299956639812,3.3010299956639813,-5.542322896309376,,-4.440291670300597,,,,,4
ZQEIXNIJLIKNTD-UHFFFAOYSA-N,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,,,2.0,,3.178120181299738,,,,0.30698337587836,,,1.57,4
NUPJIGQFXCQJBK-UHFFFAOYSA-N,COCc1cnc(C2=NC(=O)C(C)(C(C)C)N2)c(C(=O)O)c1,,,,1.6020599913279625,3.3462376207903577,-3.398135832877208,,-3.4035422675183167,,,,,4
LKJPSUCKSLORMF-UHFFFAOYSA-N,CON(C)C(=O)Nc1ccc(Cl)cc1,,1.15,,2.6989700043360187,,,,,0.9247554361948193,,,2.1,4
UBCKGWBNUIFUST-UHFFFAOYSA-N,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,,1.61,0.1367205671564068,,,,,,1.0410788235245738,,,3.01,4
OBZIQQJJIKNWNO-UHFFFAOYSA-N,COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,,2.86,2.0,,3.536175344525731,,,,,,,3.7,4
RLBIQVVOMOPOHC-UHFFFAOYSA-N,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,,1.93,0.6127838567197355,,,,,,-1.6410841333261712,,,3.0,4
LMNZTLDVJIUSHT-UHFFFAOYSA-N,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,,0.26,0.17084820364330935,,2.156886844646075,,,,,,,2.91,4
CVRALZAYCYJELZ-UHFFFAOYSA-N,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,,3.78,0.34044411484011833,,,,,,-1.333892482750453,,,4.5,4
QEGVVEOAVNHRAA-UHFFFAOYSA-N,COc1cc(OC)nc(Sc2cccc(Cl)c2C(=O)O)n1,,,1.3979400086720377,,3.2038484637462346,,,-2.5289931848522453,,,,1.15,4
QNBTYORWCCMPQP-JXAWBTAJSA-N,COc1ccc(/C(=C\C(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC,-3.911522066315785,,,,3.3010299956639813,-4.562543934932335,,-4.573407734639412,,,,,4
VJYIFXVZLXQVHO-UHFFFAOYSA-N,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1,,,1.3979400086720377,,3.6989700043360187,,,,1.3050233214189775,,,2.19,4
